timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-06-04,128.39,128.74,127.14,128.1,107.584976924,202317540,0.0000,1.0
2012-06-01,129.41,131.5,128.16,128.16,107.635368014,253063555,0.0000,1.0
2012-05-31,131.71,132.45,130.34,131.47,110.415276473,195826754,0.0000,1.0
2012-05-30,132.56,133.69,131.49,131.76,110.658833407,162154670,0.0000,1.0
2012-05-29,133.16,133.93,131.17,133.7,112.288145314,152437330,0.0000,1.0
2012-05-25,132.48,132.85,131.78,132.1,110.944382917,135393214,0.0000,1.0
2012-05-24,132.63,132.84,131.42,132.53,111.305519061,167017765,0.0000,1.0
2012-05-23,131.25,132.46,129.99,132.27,111.087157671,204667764,0.0000,1.0
2012-05-22,132.31,133.23,131.34,132.2,111.028368066,197272169,0.0000,1.0
2012-05-21,130.16,132.02,129.95,131.97,110.835202222,177733753,0.0000,1.0
2012-05-18,131.37,131.6,129.55,129.74,108.962333381,319503709,0.0000,1.0
2012-05-17,132.86,133.02,130.79,130.86,109.902967059,247684669,0.0000,1.0
2012-05-16,133.94,134.55,132.8,132.83,111.55747451,206973192,0.0000,1.0
2012-05-15,134.02,134.81,133.13,133.34,111.985798774,207288863,0.0000,1.0
2012-05-14,134.31,135.61,133.91,134.11,112.632484428,163196962,0.0000,1.0
2012-05-11,135.17,136.87,135.11,135.61,113.892261675,152988103,0.0000,1.0
2012-05-10,136.68,136.85,135.71,136.02,114.23660079,150085682,0.0000,1.0
2012-05-09,135.1,136.61,134.49,135.74,114.00144237,220525746,0.0000,1.0
2012-05-08,136.28,136.77,134.92,136.55,114.681722084,213125597,0.0000,1.0
2012-05-07,136.51,137.56,136.46,137.1,115.143640408,127664189,0.0000,1.0
2012-05-04,138.52,139.3,136.92,137.0,115.059655258,193496350,0.0000,1.0
2012-05-03,140.34,140.45,138.99,139.25,116.949321129,143518530,0.0000,1.0
2012-05-02,139.92,140.46,139.46,140.32,117.847962232,120982449,0.0000,1.0
2012-05-01,139.79,141.66,139.63,140.74,118.200699861,138747253,0.0000,1.0
2012-04-30,140.11,140.21,139.49,139.87,117.470029058,115006285,0.0000,1.0
2012-04-27,140.58,140.79,139.8,140.39,117.906751837,123902644,0.0000,1.0
2012-04-26,138.89,140.32,138.81,140.16,117.713585992,135453146,0.0000,1.0
2012-04-25,138.65,139.25,138.53,139.19,116.898930039,150143367,0.0000,1.0
2012-04-24,136.91,137.66,136.8,137.31,115.320009222,137239318,0.0000,1.0
2012-04-23,136.54,136.91,135.94,136.79,114.883286443,171710414,0.0000,1.0
2012-04-20,138.33,138.83,137.87,137.95,115.857514181,142867082,0.0000,1.0
2012-04-19,138.63,139.15,137.07,137.72,115.664348337,198512320,0.0000,1.0
2012-04-18,138.46,139.08,138.38,138.61,116.41181617,122743959,0.0000,1.0
2012-04-17,137.84,139.36,137.7,139.08,116.806546374,147627266,0.0000,1.0
